epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,107.38,0.6373,0.5899,0.99141,0.71224,0.52632,0.51656,0.29718,1.66217,1.78386,1.9916,0.001622,0.001622,0.001622
44,110.247,0.61835,0.556,0.99328,0.8564,0.42105,0.51523,0.3174,1.71457,1.76319,1.96622,0.001613,0.001613,0.001613
45,113.341,0.56566,0.52793,0.97535,0.80038,0.47368,0.58903,0.3847,1.5012,1.52405,1.6938,0.001604,0.001604,0.001604
46,115.782,0.62763,0.6797,1.02007,0.59822,0.63158,0.57687,0.3366,1.52749,1.54469,1.64372,0.001595,0.001595,0.001595
47,117.975,0.57748,0.5443,0.98139,0.4718,0.57895,0.47289,0.24476,1.62529,1.83647,1.99654,0.001586,0.001586,0.001586
48,120.236,0.6,0.54464,1.01129,0.32729,0.36842,0.29411,0.20885,1.63098,2.31285,2.029,0.001577,0.001577,0.001577
49,122.764,0.53149,0.53789,0.95901,0.42955,0.39706,0.36649,0.22574,1.76421,2.05458,2.27182,0.001568,0.001568,0.001568
50,125.91,0.5843,0.5327,0.97083,0.57004,0.41884,0.3738,0.21845,1.64947,2.18133,2.15229,0.001559,0.001559,0.001559
51,128.423,0.57029,0.52423,0.9732,0.35639,0.46655,0.2119,0.09672,2.02148,2.76427,2.71825,0.00155,0.00155,0.00155
52,130.818,0.51632,0.47278,0.92188,0.33048,0.15789,0.12127,0.06003,2.36953,3.27546,2.9068,0.001541,0.001541,0.001541
53,133.429,0.53519,0.49177,0.93769,0.49961,0.15789,0.15922,0.08829,2.43686,2.97776,2.89647,0.001532,0.001532,0.001532
54,135.609,0.53672,0.51568,0.96716,0.4338,0.21053,0.13586,0.04236,2.33455,3.94316,2.69603,0.001523,0.001523,0.001523
55,138.742,0.51963,0.47333,0.93081,0.28305,0.26316,0.18741,0.06635,2.17381,3.66056,2.53654,0.001514,0.001514,0.001514
56,141.425,0.5692,0.49439,0.98106,0.42793,0.31579,0.19572,0.06247,2.2929,3.23766,2.79905,0.001505,0.001505,0.001505
57,143.519,0.5385,0.46598,0.96127,0.54985,0.52632,0.55391,0.3185,1.54097,1.71467,1.98371,0.001496,0.001496,0.001496
58,145.542,0.58623,0.52866,0.9562,0.78759,0.78947,0.7919,0.45787,1.47012,1.11689,1.81623,0.001487,0.001487,0.001487
59,147.482,0.53307,0.48491,0.93729,0.86474,0.73684,0.82961,0.4279,1.57118,1.0987,1.91016,0.001478,0.001478,0.001478
60,149.424,0.55971,0.47646,0.95604,0.79822,0.52632,0.67106,0.37273,1.50892,1.33203,1.70024,0.001469,0.001469,0.001469
61,152.141,0.54104,0.45123,0.9438,0.59718,0.73684,0.75941,0.43242,1.52951,1.41803,1.87068,0.00146,0.00146,0.00146
62,154.71,0.56137,0.46369,0.96141,0.89282,0.57895,0.76267,0.4128,1.56017,1.25333,1.88214,0.001451,0.001451,0.001451
63,156.677,0.55274,0.48026,0.93966,0.68023,0.52632,0.62753,0.35558,1.52389,1.5213,1.81061,0.001442,0.001442,0.001442
64,158.836,0.50903,0.44238,0.96125,0.56447,0.61449,0.66073,0.32456,1.94475,1.72494,2.17803,0.001433,0.001433,0.001433
65,160.667,0.52799,0.44517,0.94345,0.64523,0.63158,0.66658,0.38958,1.81746,1.44484,2.1151,0.001424,0.001424,0.001424
66,162.807,0.49672,0.43817,0.95561,0.711,0.68421,0.72333,0.43681,1.67286,1.47461,1.91473,0.001415,0.001415,0.001415
67,165.693,0.46039,0.39739,0.92617,0.70492,0.73684,0.72775,0.45172,1.37993,1.12653,1.84568,0.001406,0.001406,0.001406
68,167.802,0.51602,0.41633,0.95642,0.73787,0.63158,0.7638,0.50591,1.28049,1.07482,1.83755,0.001397,0.001397,0.001397
69,170.023,0.52667,0.41554,0.96444,0.58727,0.67438,0.62034,0.37796,1.50437,1.34891,2.00725,0.001388,0.001388,0.001388
70,172.185,0.48897,0.41121,0.94715,0.49787,0.63158,0.57701,0.332,1.73857,1.60753,2.16588,0.001379,0.001379,0.001379
71,174.188,0.51769,0.4355,0.95422,0.84464,0.57273,0.73283,0.46714,1.37547,1.42846,1.87216,0.00137,0.00137,0.00137
72,176.459,0.48968,0.42084,0.93211,0.96829,0.63158,0.80663,0.50329,1.26189,1.19741,1.73192,0.001361,0.001361,0.001361
73,179.204,0.46241,0.41917,0.93149,0.62361,0.785,0.7247,0.42544,1.34946,1.3907,1.83974,0.001352,0.001352,0.001352
74,181.217,0.47585,0.40244,0.91706,0.81197,0.52632,0.60434,0.30359,1.51088,2.00456,1.96052,0.001343,0.001343,0.001343
75,183.283,0.46229,0.40898,0.93648,0.87247,0.57895,0.71875,0.37391,1.27957,1.77504,1.58238,0.001334,0.001334,0.001334
76,185.36,0.45979,0.3956,0.9138,0.80421,0.86535,0.89034,0.57953,1.08609,1.01537,1.45301,0.001325,0.001325,0.001325
77,187.452,0.45559,0.39619,0.92351,0.88663,0.89474,0.90578,0.57581,1.20216,0.94829,1.54983,0.001316,0.001316,0.001316
78,189.387,0.49699,0.41769,0.94658,0.84993,0.89474,0.89887,0.60473,1.26178,0.86765,1.60537,0.001307,0.001307,0.001307
79,192.331,0.45421,0.40535,0.91995,0.88743,0.94737,0.90154,0.62182,1.11406,0.83476,1.46618,0.001298,0.001298,0.001298
80,194.462,0.46055,0.41057,0.93257,0.92417,0.68421,0.79893,0.53768,1.15783,1.09221,1.48343,0.001289,0.001289,0.001289
81,196.427,0.48887,0.42308,0.93885,0.92612,0.73684,0.87973,0.52074,1.21718,0.99727,1.5761,0.00128,0.00128,0.00128
82,198.536,0.46052,0.38837,0.93456,0.98278,0.68421,0.88301,0.57884,1.16872,1.01386,1.46761,0.001271,0.001271,0.001271
83,200.583,0.43157,0.40426,0.91874,0.77914,0.84211,0.89051,0.53721,1.28788,1.07206,1.60102,0.001262,0.001262,0.001262
84,202.643,0.41505,0.37287,0.88375,0.86487,0.73684,0.88068,0.56271,1.23841,1.11747,1.59872,0.001253,0.001253,0.001253
85,205.317,0.42063,0.37536,0.91466,0.85577,0.73684,0.81928,0.51945,1.28677,0.94866,1.68408,0.001244,0.001244,0.001244
86,207.483,0.46918,0.4176,0.96295,0.85825,0.68421,0.76064,0.47893,1.38401,1.14779,1.79336,0.001235,0.001235,0.001235
87,209.42,0.45592,0.38284,0.91508,0.78961,0.68421,0.73737,0.45338,1.32812,1.22479,1.80054,0.001226,0.001226,0.001226
88,211.496,0.4353,0.3654,0.92068,0.90737,0.68421,0.78168,0.46716,1.33754,1.13275,1.8229,0.001217,0.001217,0.001217
89,213.353,0.43245,0.39773,0.91747,1,0.73624,0.82476,0.53768,1.2827,1.00393,1.74803,0.001208,0.001208,0.001208
90,215.319,0.43053,0.37319,0.93174,0.93279,0.73684,0.86132,0.54564,1.27616,1.01223,1.67619,0.001199,0.001199,0.001199
91,217.981,0.38959,0.35303,0.89885,0.74693,0.78947,0.80178,0.57096,1.14017,0.89476,1.58283,0.00119,0.00119,0.00119
92,220.503,0.48404,0.40051,0.97142,0.74325,0.78947,0.84798,0.63195,1.06761,0.93435,1.54103,0.001181,0.001181,0.001181
93,222.477,0.45117,0.37676,0.9292,0.77579,0.84211,0.86229,0.58363,1.28913,1.03799,1.79429,0.001172,0.001172,0.001172
94,224.373,0.40482,0.35012,0.90088,0.80935,0.89474,0.85482,0.57354,1.246,0.98624,1.71243,0.001163,0.001163,0.001163
95,226.389,0.41353,0.35186,0.92554,0.88715,0.84211,0.9029,0.59403,1.33562,0.95739,1.77731,0.001154,0.001154,0.001154
96,228.601,0.44613,0.37393,0.89388,0.83747,0.84211,0.88291,0.56492,1.30829,0.90788,1.78652,0.001145,0.001145,0.001145
97,231.322,0.41424,0.35665,0.91521,0.82917,0.78947,0.85485,0.53235,1.20367,0.94349,1.6939,0.001136,0.001136,0.001136
98,233.762,0.39154,0.32947,0.89918,0.90789,0.68421,0.78182,0.48693,1.18581,1.35182,1.58436,0.001127,0.001127,0.001127
99,235.718,0.4293,0.40232,0.94176,0.75964,0.57895,0.67088,0.38452,1.36511,1.48864,1.79582,0.001118,0.001118,0.001118
100,237.789,0.38378,0.34555,0.89846,0.75471,0.52632,0.60555,0.33378,1.38693,1.85138,1.81764,0.001109,0.001109,0.001109
101,239.638,0.36948,0.3169,0.87447,0.54964,0.42105,0.50163,0.34875,1.34509,1.95928,1.79982,0.0011,0.0011,0.0011
102,241.74,0.41212,0.34477,0.90964,0.89985,0.52632,0.66273,0.36272,1.52482,1.91611,1.85332,0.001091,0.001091,0.001091
103,244.231,0.41492,0.34012,0.90087,0.76316,0.57895,0.67885,0.40349,1.34555,1.60184,1.75124,0.001082,0.001082,0.001082
104,246.826,0.41106,0.33349,0.90041,0.82027,0.72131,0.83122,0.51332,1.25815,1.33532,1.67453,0.001073,0.001073,0.001073
105,248.682,0.38231,0.33824,0.88559,0.86629,0.73684,0.85965,0.59192,1.19095,1.09483,1.58237,0.001064,0.001064,0.001064
106,250.75,0.37559,0.32216,0.88741,0.89456,0.89312,0.88625,0.61012,1.11073,0.99771,1.48791,0.001055,0.001055,0.001055
107,252.843,0.35971,0.31417,0.9004,0.86977,0.78947,0.87094,0.59562,1.15304,1.05129,1.47431,0.001046,0.001046,0.001046
108,254.946,0.42499,0.33364,0.89466,0.88498,0.81063,0.89114,0.62413,1.05489,0.93324,1.45712,0.001037,0.001037,0.001037
109,257.853,0.37889,0.3191,0.8997,0.93436,0.78947,0.93369,0.64933,0.98842,0.84111,1.45136,0.001028,0.001028,0.001028
110,260.122,0.35525,0.31367,0.87333,0.94086,0.83758,0.9241,0.62284,1.09744,0.78492,1.48583,0.001019,0.001019,0.001019
111,262.148,0.37883,0.30211,0.88868,0.83985,0.89474,0.9346,0.63733,1.06088,0.7099,1.51302,0.00101,0.00101,0.00101
112,264.169,0.39046,0.34332,0.89409,0.99152,0.73684,0.91078,0.6413,1.1071,0.74513,1.5831,0.001001,0.001001,0.001001
113,266.032,0.38078,0.33081,0.90461,0.91645,0.68421,0.8334,0.53876,1.25896,1.0632,1.7604,0.000992,0.000992,0.000992
114,268.064,0.38708,0.33447,0.90177,0.74901,0.78947,0.83251,0.54749,1.10055,0.84063,1.61779,0.000983,0.000983,0.000983
115,270.798,0.36409,0.3067,0.89157,0.94198,0.68421,0.88041,0.56111,1.23506,0.9259,1.6693,0.000974,0.000974,0.000974
116,272.981,0.3686,0.31848,0.89839,0.93025,0.68421,0.88627,0.57309,1.1784,0.89689,1.58735,0.000965,0.000965,0.000965
117,275.108,0.37023,0.31333,0.89068,0.80203,0.89474,0.91402,0.63047,1.08446,0.76065,1.5849,0.000956,0.000956,0.000956
118,277.022,0.36016,0.31171,0.91288,0.93682,0.73684,0.89545,0.61386,1.03142,0.79712,1.527,0.000947,0.000947,0.000947
119,279.063,0.37327,0.3147,0.90459,0.83388,0.84211,0.92256,0.67082,0.98046,0.77325,1.47624,0.000938,0.000938,0.000938
120,281.053,0.33507,0.28931,0.87335,0.93737,0.78786,0.93969,0.67437,1.01962,0.71625,1.47543,0.000929,0.000929,0.000929
121,283.457,0.33335,0.29924,0.87097,0.94112,0.84125,0.94424,0.59041,1.12,0.86353,1.50022,0.00092,0.00092,0.00092
122,286.328,0.35216,0.3094,0.89468,0.91979,0.84211,0.91944,0.50849,1.21811,1.10379,1.57745,0.000911,0.000911,0.000911
123,288.319,0.36839,0.31885,0.91554,0.84035,0.83155,0.91571,0.5094,1.23294,1.16222,1.63678,0.000902,0.000902,0.000902
124,290.362,0.35777,0.32607,0.89029,0.88156,0.78382,0.91238,0.5198,1.19705,1.1079,1.63235,0.000893,0.000893,0.000893
125,292.264,0.3228,0.28803,0.8772,0.88794,0.83442,0.91073,0.58731,1.08418,0.89464,1.50345,0.000884,0.000884,0.000884
126,294.378,0.30204,0.28297,0.86067,0.80902,0.89196,0.88267,0.58371,1.03525,0.80098,1.48182,0.000875,0.000875,0.000875
127,297.089,0.33469,0.28775,0.87834,0.84403,0.89474,0.93994,0.66641,0.9853,0.68048,1.42505,0.000866,0.000866,0.000866
128,299.536,0.33607,0.30494,0.8781,0.94707,0.94191,0.97616,0.7091,1.00302,0.56684,1.46992,0.000857,0.000857,0.000857
129,301.538,0.34144,0.28888,0.86858,0.93966,0.89474,0.9715,0.70968,0.98724,0.60294,1.46539,0.000848,0.000848,0.000848
130,303.425,0.31889,0.27218,0.87673,0.90388,0.78947,0.91541,0.61995,1.07252,0.78466,1.47195,0.000839,0.000839,0.000839
131,305.309,0.33263,0.30894,0.90497,0.98371,0.68421,0.89113,0.61786,1.08741,0.98167,1.54626,0.00083,0.00083,0.00083
132,307.227,0.31814,0.27112,0.88956,0.93699,0.78309,0.90057,0.61004,1.13461,1.10385,1.59769,0.000821,0.000821,0.000821
133,309.603,0.32279,0.2773,0.86492,1,0.67833,0.86295,0.58213,1.14242,1.42483,1.6058,0.000812,0.000812,0.000812
134,312.357,0.33427,0.2888,0.87706,0.84046,0.73684,0.88894,0.62825,1.0434,1.11568,1.54162,0.000803,0.000803,0.000803
135,314.31,0.32696,0.27569,0.87739,0.88854,0.83932,0.92279,0.62536,1.04229,0.98807,1.52092,0.000794,0.000794,0.000794
136,316.496,0.35023,0.30593,0.88029,0.9259,0.84211,0.91002,0.63773,1.06155,0.92045,1.54575,0.000785,0.000785,0.000785
137,318.342,0.33193,0.29218,0.86254,0.94102,0.84211,0.90719,0.61621,1.12162,0.85787,1.6165,0.000776,0.000776,0.000776
138,320.567,0.31436,0.28194,0.86676,1,0.8363,0.92088,0.61958,1.13046,0.81384,1.62374,0.000767,0.000767,0.000767
139,323.156,0.33376,0.2874,0.87672,1,0.83728,0.93703,0.65448,1.07796,0.78159,1.5493,0.000758,0.000758,0.000758
140,325.505,0.32162,0.26353,0.88026,0.93129,0.78947,0.92055,0.65075,1.11189,0.91588,1.54677,0.000749,0.000749,0.000749
141,327.584,0.36127,0.2953,0.92487,0.90881,0.73684,0.86254,0.59545,1.1954,1.04213,1.6644,0.00074,0.00074,0.00074
142,329.672,0.31255,0.28664,0.85968,0.82033,0.73684,0.85659,0.54058,1.28599,1.11317,1.76856,0.000731,0.000731,0.000731
143,331.477,0.30833,0.2759,0.87387,0.83285,0.78691,0.86448,0.59342,1.24797,1.10089,1.6965,0.000722,0.000722,0.000722
144,333.49,0.32164,0.27707,0.8776,0.93747,0.78911,0.91716,0.61928,1.20991,1.02122,1.64911,0.000713,0.000713,0.000713
145,336.012,0.33724,0.2786,0.86623,1,0.84109,0.95452,0.63557,1.13082,0.81958,1.55349,0.000704,0.000704,0.000704
146,338.653,0.33982,0.28032,0.88119,1,0.89219,0.98818,0.68729,1.08962,0.7488,1.53513,0.000695,0.000695,0.000695
147,340.675,0.30588,0.26761,0.87564,1,0.89033,0.97116,0.70452,1.04097,0.70067,1.48588,0.000686,0.000686,0.000686
148,342.659,0.32805,0.28401,0.89358,0.9442,0.89074,0.94363,0.6973,1.01031,0.6756,1.43856,0.000677,0.000677,0.000677
149,344.725,0.34607,0.28095,0.8825,1,0.89201,0.959,0.68575,1.02149,0.75682,1.4298,0.000668,0.000668,0.000668
150,346.75,0.31459,0.27305,0.86908,0.93747,0.84211,0.94145,0.69155,0.97304,0.75741,1.41626,0.000659,0.000659,0.000659
151,349.356,0.30389,0.26971,0.87264,0.88385,0.84211,0.92772,0.65912,0.98438,0.77164,1.43073,0.00065,0.00065,0.00065
152,352.051,0.28733,0.26209,0.87417,0.92848,0.68335,0.83288,0.53967,1.09853,1.20687,1.47838,0.000641,0.000641,0.000641
153,354.447,0.30879,0.26386,0.89266,0.70709,0.76296,0.75131,0.48971,1.11481,1.35682,1.50526,0.000632,0.000632,0.000632
154,356.44,0.30868,0.27589,0.86266,0.68851,0.69853,0.72806,0.45158,1.15507,1.49029,1.53488,0.000623,0.000623,0.000623
155,358.623,0.30918,0.26646,0.86978,0.73507,0.73048,0.75239,0.49093,1.16309,1.49817,1.53054,0.000614,0.000614,0.000614
156,360.876,0.30247,0.26697,0.85279,0.74905,0.78947,0.80611,0.51696,1.21688,1.40905,1.55965,0.000605,0.000605,0.000605
157,363.453,0.30195,0.2827,0.85826,0.78391,0.76444,0.82748,0.54842,1.25789,1.36034,1.59477,0.000596,0.000596,0.000596
158,366.248,0.31121,0.26487,0.89719,0.77813,0.73843,0.75227,0.49341,1.27582,1.42597,1.64762,0.000587,0.000587,0.000587
159,368.591,0.2973,0.27105,0.86985,0.82661,0.78947,0.76561,0.50559,1.18932,1.26396,1.59679,0.000578,0.000578,0.000578
160,370.653,0.28251,0.2512,0.88319,0.88166,0.78448,0.84187,0.54714,1.16214,1.14512,1.59447,0.000569,0.000569,0.000569
161,372.757,0.2853,0.25626,0.85853,0.874,0.78947,0.87493,0.58141,1.11063,1.05993,1.5556,0.00056,0.00056,0.00056
162,374.967,0.27661,0.25458,0.85899,0.93701,0.78323,0.87824,0.61394,1.09121,1.0825,1.52631,0.000551,0.000551,0.000551
163,377.739,0.2803,0.26907,0.84916,0.87339,0.78947,0.88511,0.59926,1.05586,1.05821,1.5021,0.000542,0.000542,0.000542
164,380.316,0.25778,0.24245,0.86983,0.86914,0.78947,0.87451,0.60545,1.01228,1.07944,1.47951,0.000533,0.000533,0.000533
165,382.511,0.28964,0.25801,0.85779,0.91732,0.68421,0.85154,0.56618,1.02595,1.1794,1.52865,0.000524,0.000524,0.000524
166,384.74,0.2677,0.23768,0.86506,0.7752,0.78947,0.8482,0.56719,1.09266,1.31339,1.5828,0.000515,0.000515,0.000515
167,387.06,0.28679,0.25412,0.85571,0.73853,0.73684,0.8541,0.54574,1.09644,1.39171,1.60959,0.000506,0.000506,0.000506
168,389.284,0.24597,0.22698,0.82925,0.88389,0.80186,0.89344,0.54826,1.18208,1.33212,1.71803,0.000497,0.000497,0.000497
169,392.149,0.25211,0.23233,0.8643,0.87979,0.78947,0.92857,0.5771,1.20429,1.18284,1.72683,0.000488,0.000488,0.000488
170,394.271,0.25753,0.22674,0.84395,1,0.87285,0.98318,0.64667,1.16353,0.89548,1.67623,0.000479,0.000479,0.000479
171,396.601,0.27663,0.24328,0.85367,1,0.94675,0.99024,0.65265,1.20385,0.82029,1.68446,0.00047,0.00047,0.00047
172,398.796,0.26525,0.23694,0.84764,0.94363,0.88159,0.96788,0.65162,1.14116,0.85629,1.62315,0.000461,0.000461,0.000461
173,401.035,0.27234,0.23287,0.86362,0.94386,0.84211,0.96291,0.63483,1.12652,0.86774,1.60138,0.000452,0.000452,0.000452
174,403.301,0.27541,0.24561,0.85715,0.89194,0.86957,0.91308,0.62082,1.11248,0.93613,1.60659,0.000443,0.000443,0.000443
175,406.413,0.29412,0.24582,0.86408,0.84442,0.84211,0.90886,0.63485,1.0116,0.93663,1.50236,0.000434,0.000434,0.000434
176,408.674,0.26436,0.24056,0.85375,0.89095,0.89474,0.92143,0.66834,0.9754,0.9045,1.42772,0.000425,0.000425,0.000425
177,410.847,0.28127,0.28257,0.85085,1,0.87884,0.95433,0.68543,0.97357,0.87738,1.41189,0.000416,0.000416,0.000416
178,413.013,0.25258,0.24114,0.84104,0.94657,0.93298,0.94001,0.68229,0.96953,0.88915,1.41715,0.000407,0.000407,0.000407
179,415.066,0.26609,0.23877,0.8355,0.93228,0.89474,0.9235,0.66061,0.97784,0.91731,1.43282,0.000398,0.000398,0.000398
180,417.962,0.26852,0.24486,0.8519,0.88342,0.89474,0.92212,0.67321,0.97067,0.77033,1.42516,0.000389,0.000389,0.000389
181,420.584,0.26346,0.25064,0.86286,0.8469,0.94737,0.94972,0.66062,0.97093,0.76948,1.44557,0.00038,0.00038,0.00038
182,422.614,0.25972,0.23682,0.85936,0.89421,0.88997,0.93952,0.66081,0.9921,0.83122,1.47637,0.000371,0.000371,0.000371
183,424.815,0.26896,0.24774,0.85994,0.94079,0.83664,0.93176,0.64329,1.03164,0.88736,1.52534,0.000362,0.000362,0.000362
184,426.942,0.25664,0.2413,0.83984,0.94069,0.83514,0.9204,0.6534,1.03199,0.95904,1.52426,0.000353,0.000353,0.000353
185,429.126,0.27548,0.23931,0.86176,0.94076,0.8361,0.93419,0.66338,1.00248,0.89361,1.50123,0.000344,0.000344,0.000344
186,432.064,0.2454,0.23302,0.82835,0.94082,0.83706,0.93456,0.63783,1.00931,0.8956,1.48027,0.000335,0.000335,0.000335
187,434.768,0.24974,0.24593,0.86158,0.88868,0.84039,0.94774,0.65924,1.00137,0.78764,1.45102,0.000326,0.000326,0.000326
188,436.746,0.26939,0.25213,0.84273,0.89234,0.87312,0.95909,0.68108,0.96527,0.70274,1.44249,0.000317,0.000317,0.000317
189,438.99,0.25645,0.23495,0.83913,1,0.83935,0.97483,0.68835,0.95775,0.6901,1.44096,0.000308,0.000308,0.000308
190,441.215,0.21828,0.21194,0.84763,0.83046,0.89474,0.93471,0.66173,0.98752,0.7343,1.46846,0.000299,0.000299,0.000299
191,447.744,0.2139,0.31361,0.78218,0.84236,0.89474,0.9145,0.64936,0.99371,0.79047,1.49799,0.00029,0.00029,0.00029
192,450.155,0.22763,0.25378,0.7795,0.90543,0.84211,0.89162,0.59439,1.02071,1.08804,1.50179,0.000281,0.000281,0.000281
193,452.299,0.20784,0.19715,0.78169,0.86199,0.65839,0.86777,0.58921,1.0754,1.33681,1.51627,0.000272,0.000272,0.000272
