epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,112.463,0.6486,0.63504,1.13626,0.46352,0.7,0.40682,0.09461,2.13845,2.63292,3.43578,0.001748,0.001748,0.001748
44,115.774,0.71624,0.66816,1.17587,0.33849,0.6,0.32481,0.17785,1.4979,2.66631,2.70871,0.001742,0.001742,0.001742
45,118.479,0.63793,0.62664,1.13449,0.51379,0.8,0.56633,0.28021,1.57047,2.0297,3.09503,0.001736,0.001736,0.001736
46,121.345,0.66746,0.6408,1.16476,0.6892,0.88787,0.77609,0.39133,1.59358,1.54238,3.41381,0.00173,0.00173,0.00173
47,123.663,0.66336,0.63804,1.14108,0.46161,0.4,0.45508,0.18297,1.87433,2.32543,3.3053,0.001724,0.001724,0.001724
48,126.253,0.65573,0.64968,1.14641,0.24479,0.4,0.23976,0.07279,2.75163,2.96073,3.87065,0.001718,0.001718,0.001718
49,129.799,0.6205,0.65943,1.12801,0.36725,0.7,0.37337,0.20246,1.8753,1.96464,2.94767,0.001712,0.001712,0.001712
50,132.296,0.6335,0.61201,1.14286,0.30792,0.5,0.31041,0.13662,1.94108,2.83345,3.59893,0.001706,0.001706,0.001706
51,134.775,0.57675,0.57651,1.11143,0.35986,0.4,0.23689,0.06332,2.51196,3.02667,4.19272,0.0017,0.0017,0.0017
52,137.45,0.62227,0.58778,1.12084,0.50831,0.6216,0.47116,0.12405,2.76382,2.46178,4.62608,0.001694,0.001694,0.001694
53,140.138,0.62578,0.56386,1.12354,0.25868,0.8,0.3575,0.08545,2.90084,2.31239,4.34645,0.001688,0.001688,0.001688
54,143.513,0.65073,0.60195,1.14713,0.4516,0.8,0.6063,0.2189,2.03618,2.65424,2.98923,0.001682,0.001682,0.001682
55,146.054,0.64987,0.59127,1.14075,0.52758,0.6,0.54987,0.20358,1.98888,2.16962,2.84807,0.001676,0.001676,0.001676
56,148.281,0.66556,0.6031,1.16182,0.31781,0.1,0.06562,0.02486,3.15572,3.36637,3.92751,0.00167,0.00167,0.00167
57,150.534,0.65196,0.56245,1.13332,0.67055,0.1,0.13913,0.09925,2.82859,3.3338,3.59081,0.001664,0.001664,0.001664
58,153.12,0.59664,0.52561,1.11059,0.27832,0.4,0.18691,0.09445,2.10745,2.94823,2.85872,0.001658,0.001658,0.001658
59,155.997,0.66511,0.59332,1.1684,0.45893,0.4,0.32444,0.16722,2.20999,2.7092,2.93066,0.001652,0.001652,0.001652
60,158.716,0.66029,0.60027,1.17431,0.62447,0.9,0.74293,0.47192,1.19385,1.19619,2.26075,0.001646,0.001646,0.001646
61,161.022,0.64812,0.60484,1.1503,0.7486,0.89384,0.84533,0.52362,1.1795,1.16748,2.20057,0.00164,0.00164,0.00164
62,163.413,0.63303,0.56438,1.12023,0.82419,0.9,0.91167,0.43126,1.47493,1.24899,2.40474,0.001634,0.001634,0.001634
63,165.917,0.60769,0.57442,1.14482,0.89885,1,0.94955,0.55522,1.33796,1.19847,2.47006,0.001628,0.001628,0.001628
64,169.115,0.57831,0.52008,1.12339,0.89224,1,0.98591,0.72766,1.09531,1.03807,2.12747,0.001622,0.001622,0.001622
65,171.778,0.58638,0.53788,1.09876,0.62888,0.9,0.77595,0.38994,1.2809,1.71975,2.11337,0.001616,0.001616,0.001616
66,174.357,0.59997,0.51776,1.11817,0.82812,0.96557,0.96167,0.61609,1.10003,1.12529,2.00976,0.00161,0.00161,0.00161
67,176.7,0.57418,0.5005,1.08328,0.56678,0.8,0.69146,0.54595,1.15485,1.38785,2.10837,0.001604,0.001604,0.001604
68,179.214,0.54336,0.50685,1.10593,0.32468,0.6,0.36191,0.27739,1.6832,2.30143,2.61333,0.001598,0.001598,0.001598
69,182.343,0.59589,0.51895,1.11256,0.25278,0.6,0.39548,0.30497,1.55071,2.29827,2.43364,0.001592,0.001592,0.001592
70,184.991,0.62791,0.52635,1.15036,0.30767,0.4,0.34768,0.28074,1.55591,2.62107,2.57859,0.001586,0.001586,0.001586
71,187.488,0.58518,0.54713,1.09521,0.70416,0.3,0.37222,0.19103,1.93037,3.28704,2.83362,0.00158,0.00158,0.00158
72,189.825,0.55191,0.48063,1.09305,0.36272,0.3,0.34248,0.2354,1.78652,2.62935,2.61418,0.001574,0.001574,0.001574
73,192.414,0.65025,0.5697,1.14218,0.39033,0.6,0.40088,0.25445,1.66692,2.55985,2.69064,0.001568,0.001568,0.001568
74,195.231,0.55154,0.50647,1.07377,0.45936,0.6,0.39242,0.25459,1.54674,2.09411,2.56517,0.001562,0.001562,0.001562
75,198.232,0.60053,0.54084,1.12968,0.54392,0.6,0.4681,0.27812,1.75004,2.08543,2.77324,0.001556,0.001556,0.001556
76,200.769,0.58705,0.52815,1.11151,0.97749,0.9,0.97192,0.69805,0.90434,0.7296,1.79198,0.00155,0.00155,0.00155
77,203.107,0.54128,0.46633,1.08234,0.99364,1,0.995,0.77146,0.86999,0.62863,1.68901,0.001544,0.001544,0.001544
78,205.464,0.55806,0.47765,1.08677,0.99476,1,0.995,0.81395,0.74679,0.62678,1.5747,0.001538,0.001538,0.001538
79,208.409,0.58778,0.489,1.10435,0.90145,1,0.98591,0.8122,0.76266,0.64732,1.5536,0.001532,0.001532,0.001532
80,211.507,0.57869,0.48106,1.10958,0.99783,1,0.995,0.71221,0.954,0.76374,1.98446,0.001526,0.001526,0.001526
81,214.069,0.52627,0.46244,1.07135,1,0.8666,0.97833,0.6638,1.2298,1.04076,2.47707,0.00152,0.00152,0.00152
82,216.526,0.61735,0.54909,1.1519,0.99415,1,0.995,0.5826,1.34161,0.73107,2.87511,0.001514,0.001514,0.001514
83,218.712,0.57034,0.49288,1.09731,0.99498,1,0.995,0.74357,0.96273,0.68224,2.10294,0.001508,0.001508,0.001508
84,221.411,0.5797,0.45811,1.11551,1,0.89072,0.98591,0.67894,0.89596,0.79542,1.80054,0.001502,0.001502,0.001502
85,224.848,0.55877,0.47434,1.0719,0.8333,0.99977,0.96833,0.80972,0.58101,0.60899,1.2935,0.001496,0.001496,0.001496
86,227.189,0.54449,0.49862,1.0782,1,0.88881,0.96167,0.71733,0.72014,0.76919,1.40465,0.00149,0.00149,0.00149
87,229.483,0.55358,0.46752,1.09155,0.88815,0.79466,0.85056,0.59242,0.9048,1.06071,1.63129,0.001484,0.001484,0.001484
88,231.702,0.55343,0.45631,1.07098,0.99313,0.8,0.87357,0.61981,1.05585,0.86825,1.83476,0.001478,0.001478,0.001478
89,234.472,0.53348,0.45727,1.06352,0.97668,0.8,0.95643,0.61296,0.91365,0.77692,1.73742,0.001472,0.001472,0.001472
90,237.764,0.53936,0.43977,1.05139,0.97474,0.8,0.87352,0.56412,0.94655,1.1448,1.73615,0.001466,0.001466,0.001466
91,240.036,0.51564,0.4281,1.04507,0.98725,1,0.995,0.62958,1.11403,0.94547,2.05655,0.00146,0.00146,0.00146
92,242.288,0.54253,0.42843,1.05595,0.97405,1,0.995,0.70705,0.95193,0.73753,2.04631,0.001454,0.001454,0.001454
93,244.532,0.53632,0.43393,1.07645,0.90319,1,0.98591,0.75349,0.82227,0.58855,1.70381,0.001448,0.001448,0.001448
94,247.216,0.52496,0.41289,1.05737,0.75015,0.90078,0.95192,0.7324,0.87731,0.79711,1.57285,0.001442,0.001442,0.001442
